,Latitude,Longitude,City,Country,Major_Geo_Region,ISO3,LCD_grouping,WHO_region,HDI_level,Koppen_climate_region,Peak_NDVI_2015,PopWeight_Peak_NDVI_2015,Greenness_Level_2015,Peak_NDVI_2020,PopWeight_Peak_NDVI_2020,Greenness_Level_2020,Peak_NDVI_2021,PopWeight_Peak_NDVI_2021,Greenness_Level_2021,Peak_NDVI_2022,PopWeight_Peak_NDVI_2022,Greenness_Level_2022,Peak_NDVI_2023,PopWeight_Peak_NDVI_2023,Greenness_Level_2023
840,22.44459825,114.1865318,Sha Tin,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.389698663,0.303352528,Low,0.375705455,0.272944459,Very Low,0.369540136,0.277332653,Very Low,0.394723193,0.297371127,Very Low,0.369540136,0.294148427,Very Low
841,27.64807242,79.93913011,Shahabad,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.443840137,0.442704383,Moderate,0.412296876,0.409833035,Moderate,0.414223918,0.414956436,Moderate,0.43620472,0.435615639,Moderate,0.446750559,0.444647212,Moderate
842,27.85725215,79.9113641,Shahjahanpur,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.410325283,0.409840058,Moderate,0.31434353,0.314069708,Low,0.376983646,0.376120406,Low,0.378004803,0.377901842,Low,0.376983646,0.348351014,Low
843,31.19249624,121.4271278,Shanghai,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.341920794,0.297499525,Very Low,0.37991562,0.334812682,Low,0.327768497,0.289465471,Very Low,0.337947247,0.294396655,Very Low,0.275109797,0.251348269,Very Low
844,34.41067195,115.6320451,Shangqiu,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.357100825,0.335758176,Low,0.334355261,0.323138858,Low,0.287394574,0.282974673,Very Low,0.33280985,0.321801907,Low,0.372501134,0.363728059,Low
845,27.23785574,111.4846456,Shaoyang,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.359064394,0.309586461,Low,0.390128051,0.349942619,Low,0.350811112,0.318820921,Low,0.392100078,0.346565272,Low,0.340175457,0.302064296,Low
846,53.388841,-1.417890387,Sheffield,United Kingdom,Europe,GBR,Europe,Europe,Very High,Temperate,0.4883149,0.453957053,Moderate,0.513561139,0.481318323,Moderate,0.493440479,0.460268589,Moderate,0.475817344,0.449830442,Moderate,0.501869013,0.465669235,Moderate
847,41.78761691,123.3846706,Shenyang,China,Asia,CHN,Asia,Western Pacific,High,Continental,0.299727301,0.25425919,Very Low,0.319931195,0.277187159,Very Low,0.256105526,0.209686873,Very Low,0.292339972,0.261365333,Very Low,0.35291884,0.30285309,Low
848,38.06558149,114.514272,Shijiazhuang,China,Asia,CHN,Asia,Western Pacific,High,Arid,0.279126726,0.220985601,Very Low,0.368729549,0.300122745,Low,0.294344897,0.261784901,Very Low,0.34618873,0.303184787,Low,0.323442331,0.293841446,Very Low
849,29.61545785,52.5224442,Shiraz,Iran,Asia,IRN,Asia,Eastern Mediterranean,High,Arid,0.173122197,0.173713905,Exceptionally Low,0.191737112,0.192393435,Exceptionally Low,0.168559956,0.168772003,Exceptionally Low,0.160843001,0.161166511,Exceptionally Low,0.1836368,0.184042196,Exceptionally Low
850,32.64454461,110.7501822,Shiyan,China,Asia,CHN,Asia,Western Pacific,High,Temperate,0.353937266,0.341803553,Low,0.447186627,0.423022316,Moderate,0.46708666,0.445214886,Moderate,0.418868984,0.398205589,Low,0.428603401,0.403204888,Moderate
851,31.456781,102.843018,Shizong Qu,China,Asia,CHN,Asia,Western Pacific,High,NA,0.346924601,0.337745615,Low,0.359397219,0.35206924,Low,0.397393615,0.388419638,Low,0.296741665,0.286890718,Very Low,0.423138159,0.411716223,Moderate
852,34.99284736,138.432997,Shizuoka,Japan,Asia,JPN,Asia,Western Pacific,Very High,Temperate,0.310783511,0.321088858,Low,0.315154696,0.325498991,Low,0.312099613,0.322626798,Low,0.329564732,0.341485204,Low,0.329963994,0.34121954,Low
853,42.32968781,69.59777438,Shymkent,Kazakhstan,Asia,KAZ,Asia,Europe,Very High,Continental,0.28999877,0.287593693,Very Low,0.298614799,0.29710377,Very Low,0.292560242,0.291780681,Very Low,0.24839796,0.248486519,Very Low,0.276074076,0.274773798,Very Low
854,32.49950667,74.51575555,Sialkot,Pakistan,Asia,PAK,Asia,Eastern Mediterranean,Low,Temperate,0.395451197,0.390417277,Low,0.408521913,0.407147494,Moderate,0.408738804,0.40443284,Moderate,0.349683429,0.341376875,Low,0.408738804,0.381811281,Low
855,27.60792872,75.15350432,Sikar,India,Asia,IND,Asia,South-East Asia,Medium,Arid,0.285133114,0.285681946,Very Low,0.300181712,0.299912868,Very Low,0.299107222,0.298844292,Very Low,0.293766334,0.293988007,Very Low,0.312355126,0.312723955,Low
856,24.8150992,92.78545424,Silchar,India,Asia,IND,Asia,South-East Asia,Medium,Tropical,0.501203597,0.501971257,High,0.543478672,0.543581125,High,0.488215188,0.48915178,Moderate,0.501796825,0.501400719,High,0.488215188,0.503729263,High
